channel_a,title_a,username_a,posts_a,channel_b,title_b,username_b,posts_b,shared,overlap
3546499993,OpenClaw канал про ИИ-агентов,openclawc,296,3765295864,OpenClaw Community,openclawchats,340,295,0.997
2022153454,📈 Слив платных каналов по трейдингу 📈 Слив VIP сигналов 📈 Агрегатор VIP каналов 📈 Sliv signal 📈,KapitanSlivaaa,11789,2440532396,Сигналы I VIP каналы I Трейдинг,Trading_Privatki,21594,11167,0.947
1997034059,gencode_chat.py,,1975,2110095907,"Vibe Coding: OpenCode, Claude Code, Codex, Cursor, Kilo",prog_ai,188,173,0.92
3535614079,ALPHAEDGE SIGNALS,ALPHAEDGE_SIGNAL,3665,3959205594,“VIP CRYPTO CASINO”,VIP_CRYPTO_CASINO,3823,2907,0.793
1284746693,DiarioBitcoin.com,diariobitcoin,31856,2185083881,🪙 ECONOMÍA Y FINANZAS 📊,Economia_Y_Finanzas,5711,3491,0.611
1482307486,Radar de Noticias Venezuela,RadarEconomicoVzla,3250,2765074304,🚨🇻🇪🌏 BÚNKER DIGITAL VENEZUELA,bunkerdigitalvenezuela,4203,1922,0.591
1970788983,"Да придет ИИ: ChatGPT, Claude, Gemini, Grok",agipdoom,18,1997034059,gencode_chat.py,,1975,10,0.556
1970788983,"Да придет ИИ: ChatGPT, Claude, Gemini, Grok",agipdoom,18,2110095907,"Vibe Coding: OpenCode, Claude Code, Codex, Cursor, Kilo",prog_ai,188,10,0.556
3601900495,Twitter Unban Tiktok,Twitter_ban_Tiktok,259,3700286254,Instagram Ban Unban Tiktok Facebook,cryptosinstagram,265,138,0.533
1614688599,Нейронавт | Нейросети в творчестве,GreenNeuralRobots,5849,2278966453,Comfy UIX,comfyuix,639,272,0.426
2252491548,Yahoo Finance | Web3,yahoofinanceweb3,3825,2483618461,Finextra,Finextrae,532,207,0.389
1308702886,☀️ Dan Diaconu,DanDiaconu,3815,1804132734,Razboiul contra ta (The war against you).,peterhouse23,28013,1260,0.33
2016759462,"Сабай-санук. 🇹🇭 Таиланд, общение, новости",sabai_sanuk,222,2141672482,Мамы/отцы в Таиланде 🇹🇭,moms_Thailand,48,15,0.312
